{'Time': 0.02342857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 15, 'Block_id': 0, 'Create_time': 0.02142857142857143, 'Deadline': 0.2, 'Offset': 14, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.024285714285714285, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 17, 'Block_id': 0, 'Create_time': 0.024285714285714285, 'Deadline': 0.2, 'Offset': 16, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02442857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.003, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 15, 'Block_id': 0, 'Create_time': 0.02142857142857143, 'Deadline': 0.2, 'Offset': 14, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02492857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0020714285714285717, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 16, 'Block_id': 0, 'Create_time': 0.022857142857142857, 'Deadline': 0.2, 'Offset': 15, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.025714285714285714, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 18, 'Block_id': 0, 'Create_time': 0.025714285714285714, 'Deadline': 0.2, 'Offset': 17, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02592857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0030714285714285717, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 16, 'Block_id': 0, 'Create_time': 0.022857142857142857, 'Deadline': 0.2, 'Offset': 15, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02642857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0021428571428571434, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 17, 'Block_id': 0, 'Create_time': 0.024285714285714285, 'Deadline': 0.2, 'Offset': 16, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.027142857142857142, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 19, 'Block_id': 0, 'Create_time': 0.027142857142857142, 'Deadline': 0.2, 'Offset': 18, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02742857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0031428571428571434, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 17, 'Block_id': 0, 'Create_time': 0.024285714285714285, 'Deadline': 0.2, 'Offset': 16, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.027928571428571428, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002214285714285715, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 18, 'Block_id': 0, 'Create_time': 0.025714285714285714, 'Deadline': 0.2, 'Offset': 17, 'Payload': 1480, 'Packet_size': 1500}
